Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"48,760,123","48,528,543","48,991,703",15.9,15.8,16.0,"16,396,863","16,275,868","16,517,858",22.6,22.4,22.8,"11,086,537","10,995,403","11,177,671",21.0,20.8,21.2,"51,371","51,318","51,424","5,014,970","4,971,692","5,058,248",25.6,25.4,25.8
01,000,AL,Alabama,"896,515","880,205","912,825",19.0,18.7,19.3,"306,451","298,963","313,939",27.6,26.9,28.3,"208,811","202,516","215,106",25.8,25.0,26.6,"41,610","41,143","42,077","94,623","90,649","98,597",31.6,30.3,32.9
01,001,AL,Autauga County,"7,017","5,688","8,346",12.7,10.3,15.1,"2,648","2,088","3,208",18.5,14.6,22.4,"1,883","1,479","2,287",17.6,13.8,21.4,"51,441","47,185","55,697",.,.,.,.,.,.
01,003,AL,Baldwin County,"26,177","22,636","29,718",13.9,12.0,15.8,"8,723","7,204","10,242",20.5,16.9,24.1,"6,109","4,961","7,257",19.4,15.7,23.1,"48,867","46,453","51,281",.,.,.,.,.,.
01,005,AL,Barbour County,"6,892","5,776","8,008",29.0,24.3,33.7,"2,683","2,322","3,044",47.0,40.7,53.3,"1,797","1,514","2,080",42.9,36.2,49.6,"30,287","27,664","32,910",.,.,.,.,.,.
01,007,AL,Bibb County,"4,371","3,463","5,279",21.5,17.0,26.0,"1,297",996,"1,598",27.2,20.9,33.5,914,702,"1,126",25.6,19.7,31.5,"37,392","33,881","40,903",.,.,.,.,.,.
01,009,AL,Blount County,"9,264","7,634","10,894",16.2,13.4,19.0,"3,179","2,552","3,806",23.1,18.6,27.6,"2,226","1,776","2,676",21.7,17.3,26.1,"44,225","40,725","47,725",.,.,.,.,.,.
01,011,AL,Bullock County,"2,848","2,180","3,516",32.3,24.7,39.9,949,735,"1,163",43.2,33.5,52.9,642,492,792,42.8,32.8,52.8,"25,854","23,441","28,267",.,.,.,.,.,.
01,013,AL,Butler County,"5,247","4,403","6,091",26.3,22.1,30.5,"1,959","1,642","2,276",42.1,35.3,48.9,"1,325","1,092","1,558",38.9,32.1,45.7,"30,605","27,837","33,373",.,.,.,.,.,.
01,015,AL,Calhoun County,"24,533","21,777","27,289",21.4,19.0,23.8,"8,212","7,051","9,373",31.4,27.0,35.8,"5,825","4,993","6,657",30.5,26.1,34.9,"39,212","36,463","41,961",.,.,.,.,.,.
